strategy,rep,max_lc_unfusions,max_p_unfusions,qubits,depth,pt,pcnot,initial_gate_count,initial_2Q_count,initial_T_count,final_gate_count,final_2Q_count,final_T_count,optimisation_time,2Q_reduction,gate_reduction
cFlow,0,1.0,4.0,10,1000,0.03,0.3,1000,325,31,527,263,29,71.59185554203577,19.07692307692308,47.3
cFlow,0,2.0,4.0,10,1000,0.03,0.3,1000,325,31,530,262,29,69.87480483297259,19.384615384615383,47.0
cFlow,0,3.0,4.0,10,1000,0.03,0.3,1000,325,31,512,262,29,74.62968791695312,19.384615384615383,48.8
cFlow,0,4.0,4.0,10,1000,0.03,0.3,1000,325,31,520,264,29,74.7041576250922,18.76923076923077,48.0
cFlow,0,5.0,4.0,10,1000,0.03,0.3,1000,325,31,516,267,29,74.88587420806289,17.846153846153847,48.4
cFlow,0,0.0,5.0,10,1000,0.03,0.3,1000,325,31,522,262,29,91.72646858287044,19.384615384615383,47.8
cFlow,0,1.0,5.0,10,1000,0.03,0.3,1000,325,31,521,264,29,90.51632208307274,18.76923076923077,47.9
cFlow,0,2.0,5.0,10,1000,0.03,0.3,1000,325,31,530,262,29,86.07508400012739,19.384615384615383,47.0
cFlow,0,3.0,5.0,10,1000,0.03,0.3,1000,325,31,512,262,29,82.1447014589794,19.384615384615383,48.8
cFlow,0,4.0,5.0,10,1000,0.03,0.3,1000,325,31,512,262,29,83.67702720803209,19.384615384615383,48.8
cFlow,0,5.0,5.0,10,1000,0.03,0.3,1000,325,31,518,265,29,87.19888929114677,18.46153846153846,48.2
full_reduce,0,,,10,1000,0.04,0.3,1000,302,45,329,232,35,0.0744364999700337,23.178807947019862,67.1
gFlow,0,,,10,1000,0.04,0.3,1000,302,45,544,273,35,0.2038942920044064,9.602649006622515,45.6
ZX-heur,0,,,10,1000,0.04,0.3,1000,302,45,550,291,35,7.363197833998129,3.642384105960265,45.0
cFlow,0,0.0,0.0,10,1000,0.04,0.3,1000,302,45,523,271,35,0.9505397079046816,10.264900662251655,47.7
cFlow,0,1.0,0.0,10,1000,0.04,0.3,1000,302,45,527,266,35,2.925402124878019,11.920529801324504,47.3
cFlow,0,2.0,0.0,10,1000,0.04,0.3,1000,302,45,543,272,35,5.264944666996598,9.933774834437086,45.7
cFlow,0,3.0,0.0,10,1000,0.04,0.3,1000,302,45,537,272,35,7.2692124168388546,9.933774834437086,46.3
cFlow,0,4.0,0.0,10,1000,0.04,0.3,1000,302,45,529,268,35,8.320994207868353,11.258278145695364,47.1
cFlow,0,5.0,0.0,10,1000,0.04,0.3,1000,302,45,529,268,35,8.764795208116993,11.258278145695364,47.1
cFlow,0,0.0,1.0,10,1000,0.04,0.3,1000,302,45,501,259,35,10.01972004189156,14.23841059602649,49.9
cFlow,0,1.0,1.0,10,1000,0.04,0.3,1000,302,45,529,262,35,11.950310417218134,13.245033112582782,47.1
cFlow,0,2.0,1.0,10,1000,0.04,0.3,1000,302,45,530,267,35,13.08889879193157,11.589403973509931,47.0
cFlow,0,3.0,1.0,10,1000,0.04,0.3,1000,302,45,533,266,35,15.54597054189071,11.920529801324504,46.7
cFlow,0,4.0,1.0,10,1000,0.04,0.3,1000,302,45,520,260,35,18.52766575012356,13.90728476821192,48.0
cFlow,0,5.0,1.0,10,1000,0.04,0.3,1000,302,45,520,260,35,19.18344516609796,13.90728476821192,48.0
cFlow,0,0.0,2.0,10,1000,0.04,0.3,1000,302,45,508,254,35,26.94760041707196,15.894039735099335,49.2
cFlow,0,1.0,2.0,10,1000,0.04,0.3,1000,302,45,512,254,35,28.392322333995253,15.894039735099335,48.8
cFlow,0,2.0,2.0,10,1000,0.04,0.3,1000,302,45,511,253,35,30.18813387490809,16.225165562913908,48.9
cFlow,0,3.0,2.0,10,1000,0.04,0.3,1000,302,45,514,252,35,33.987250291975215,16.556291390728475,48.6
cFlow,0,4.0,2.0,10,1000,0.04,0.3,1000,302,45,514,252,35,34.54864591592923,16.556291390728475,48.6
cFlow,0,5.0,2.0,10,1000,0.04,0.3,1000,302,45,514,252,35,34.92840470792726,16.556291390728475,48.6
cFlow,0,0.0,3.0,10,1000,0.04,0.3,1000,302,45,508,254,35,49.11098020896316,15.894039735099335,49.2
cFlow,0,1.0,3.0,10,1000,0.04,0.3,1000,302,45,511,254,35,46.79414354101755,15.894039735099335,48.9
cFlow,0,2.0,3.0,10,1000,0.04,0.3,1000,302,45,515,255,35,45.07938916701824,15.562913907284768,48.5
cFlow,0,3.0,3.0,10,1000,0.04,0.3,1000,302,45,511,253,35,55.71751495893113,16.225165562913908,48.9
cFlow,0,4.0,3.0,10,1000,0.04,0.3,1000,302,45,515,253,35,56.541134583065286,16.225165562913908,48.5
cFlow,0,5.0,3.0,10,1000,0.04,0.3,1000,302,45,515,253,35,57.92386491689831,16.225165562913908,48.5
cFlow,0,0.0,4.0,10,1000,0.04,0.3,1000,302,45,510,254,35,56.046195125207305,15.894039735099335,49.0
cFlow,0,1.0,4.0,10,1000,0.04,0.3,1000,302,45,512,254,35,59.173813292058185,15.894039735099335,48.8
cFlow,0,2.0,4.0,10,1000,0.04,0.3,1000,302,45,518,255,35,55.36910245893523,15.562913907284768,48.2
cFlow,0,3.0,4.0,10,1000,0.04,0.3,1000,302,45,515,253,35,69.51785208308138,16.225165562913908,48.5
cFlow,0,4.0,4.0,10,1000,0.04,0.3,1000,302,45,511,253,35,69.83204712485895,16.225165562913908,48.9
cFlow,0,5.0,4.0,10,1000,0.04,0.3,1000,302,45,511,253,35,73.22478712489828,16.225165562913908,48.9
cFlow,0,0.0,5.0,10,1000,0.04,0.3,1000,302,45,510,254,35,61.16579370782711,15.894039735099335,49.0
cFlow,0,1.0,5.0,10,1000,0.04,0.3,1000,302,45,512,254,35,65.8173830001615,15.894039735099335,48.8
cFlow,0,2.0,5.0,10,1000,0.04,0.3,1000,302,45,518,255,35,60.17970687500201,15.562913907284768,48.2
cFlow,0,3.0,5.0,10,1000,0.04,0.3,1000,302,45,515,253,35,70.74814008316025,16.225165562913908,48.5
cFlow,0,4.0,5.0,10,1000,0.04,0.3,1000,302,45,515,253,35,80.07910433295183,16.225165562913908,48.5
cFlow,0,5.0,5.0,10,1000,0.04,0.3,1000,302,45,515,253,35,72.8996283330489,16.225165562913908,48.5
full_reduce,0,,,10,1000,0.05,0.3,1000,323,49,384,264,37,0.0842326669953763,18.26625386996904,61.6
gFlow,0,,,10,1000,0.05,0.3,1000,323,49,511,272,37,0.2272263751365244,15.789473684210526,48.9
ZX-heur,0,,,10,1000,0.05,0.3,1000,323,49,538,294,37,10.051401916891336,8.978328173374614,46.2
cFlow,0,0.0,0.0,10,1000,0.05,0.3,1000,323,49,505,269,37,1.3934016251005232,16.71826625386997,49.5
cFlow,0,1.0,0.0,10,1000,0.05,0.3,1000,323,49,513,271,37,3.858793917112053,16.09907120743034,48.7
cFlow,0,2.0,0.0,10,1000,0.05,0.3,1000,323,49,537,272,37,6.866338124964386,15.789473684210526,46.3
cFlow,0,3.0,0.0,10,1000,0.05,0.3,1000,323,49,534,277,37,9.39552479190752,14.241486068111454,46.6
cFlow,0,4.0,0.0,10,1000,0.05,0.3,1000,323,49,534,277,37,11.303800042020155,14.241486068111454,46.6
cFlow,0,5.0,0.0,10,1000,0.05,0.3,1000,323,49,534,277,37,12.2837465419434,14.241486068111454,46.6
cFlow,0,0.0,1.0,10,1000,0.05,0.3,1000,323,49,513,267,37,10.71003216598183,17.3374613003096,48.7
cFlow,0,1.0,1.0,10,1000,0.05,0.3,1000,323,49,505,265,37,14.266472625080496,17.956656346749227,49.5
cFlow,0,2.0,1.0,10,1000,0.05,0.3,1000,323,49,528,270,37,15.984913541004062,16.408668730650156,47.2
cFlow,0,3.0,1.0,10,1000,0.05,0.3,1000,323,49,516,270,37,18.35050266678445,16.408668730650156,48.4
cFlow,0,4.0,1.0,10,1000,0.05,0.3,1000,323,49,516,270,37,21.07191704190336,16.408668730650156,48.4
cFlow,0,5.0,1.0,10,1000,0.05,0.3,1000,323,49,516,270,37,21.66919183288701,16.408668730650156,48.4
cFlow,0,0.0,2.0,10,1000,0.05,0.3,1000,323,49,490,251,37,32.35988770797849,22.291021671826627,51.0
cFlow,0,1.0,2.0,10,1000,0.05,0.3,1000,323,49,493,249,37,34.89041312481277,22.91021671826625,50.7
cFlow,0,2.0,2.0,10,1000,0.05,0.3,1000,323,49,501,252,37,36.335056209005415,21.981424148606813,49.9
cFlow,0,3.0,2.0,10,1000,0.05,0.3,1000,323,49,497,252,37,41.11375162517652,21.981424148606813,50.3
cFlow,0,4.0,2.0,10,1000,0.05,0.3,1000,323,49,501,252,37,42.527122708037496,21.981424148606813,49.9
cFlow,0,5.0,2.0,10,1000,0.05,0.3,1000,323,49,501,252,37,42.94873912492767,21.981424148606813,49.9
cFlow,0,0.0,3.0,10,1000,0.05,0.3,1000,323,49,480,246,37,55.271022541914135,23.8390092879257,52.0
cFlow,0,1.0,3.0,10,1000,0.05,0.3,1000,323,49,503,245,37,57.29635408404283,24.14860681114552,49.7
cFlow,0,2.0,3.0,10,1000,0.05,0.3,1000,323,49,502,247,37,51.16943074995652,23.529411764705884,49.8
cFlow,0,3.0,3.0,10,1000,0.05,0.3,1000,323,49,496,251,37,66.51685858308338,22.291021671826627,50.4
